CD,Artista,Precio
El Terrorista De La Lirica,Eddie Dee,40.00
El Underdog,Tego Calderon,14.75
El Verdadero Flow,Delfin,14.75
Emboscada,Vico C,22.00
En Bola De Humo,Chago Man,18.95
En Efectivo,Miguel Play,45.00
En Lo Claro,Voltio,18.95
Entre El Amor y El Odio,Peligro,25.00
Entren Los Que Quieran,Calle 13,14.75
ERRE XI,Erre XI,18.95
Evolucion Arrestada,Mickey Perfecto,20.00
Face Off Del Reggaeton,Varios Artistas,15.00
Fatal Fantassy 2,Dj Joe,30.00
Fatal Fantassy G69,DJ Joe,30.00
Fenix,Nicky Jam,35.00
Flow La Discoteka 1,DJ Nelson,35.00
Flow La Discoteka 2,DJ Nelson,22.00
Fuera De Serie Live,Lito & Polaco,22.00
Gargolas 5 The Next Generation,Varios Artistas,30.00
Global,3Ball MTY,18.95
Glow,Glory,18.95
Greatest Beats,Eliel,22.00
Greatest Hits Vol. 1 (Sellado),Nicky Jam,35.00
Ground Zero,Varios Artistas,22.00
Guatauba From The Beginning,Varios Artistas,18.95
Guatauba XXX,Varios Artistas,30.00
Hacia Otro Nivel,Varios Artistas,14.75
Idon,Don Omar,22.00
Innovando,DJ Ankeira,18.95
Intentalo,3Ball MTY,18.95
Intimo,Nicky Jam,18.95
Jake Mate,Maicol 6 Manuel,18.95
Kasa Blanca,Great Kilo,32.00
Kilates 1,Diamond Music,22.00
Kilates 2,Diamond Music,22.00
King Of Kings,Don Omar,18.95
King Of Kings Live,Don Omar,22.00
Kings Of The Beats,Luny Tunes,18.95
Knock Out,Johnny Prez,40.00
Kolabo,Jomar,18.95
Kruel Intentions,Rey Pirin,18.95
La Coleccion,O.G. Black & Master Joe,22.00
La Familia Lealtad,Varios Artistas,14.75
La Historia Del Duo,Wisin & Yandel,20.00
La Historia Live,Hector & Tito,35.00
La Industria 7,DJ Eric,25.00
La Invasion,Ecko,25.00
La Mision 4,Luny Tunes,40.00
La Moda,Yaga & Mackie,27.00
La Rebeldia,Varios Artistas,18.95
La Reunion,Yaga & Mackie,22.00
La Revolucion,Wisin & Yandel,22.00
La Revolucion (CD/DVD),Wisin & Yandel,25.00
La Revolucion Evolucion,Wisin & Yandel,35.00
La Revolucion Live CD 1,Wisin & Yandel,22.00
La Revolucion Live CD 2,Wisin & Yandel,22.00
La Saga,DJ Eric,18.95
La Trayectoria,Luny Tunes,25.00
La Ultima Mision,Wisin & Yandel,25.00
Lagrimas y Risas,DJ Blass,18.95
Legendaddy,Daddy Yankee,25.00
Lo Mejor De La Compañia,Wisin & Yandel,18.95
Los 12 Discipulos,Eddie Dee,27.00
Los 3 Mosqueteros De Vuelta Por Primera Vez,DJ Eric & Jetson,14.75
Los Anormales,Hector El Father,35.00
Los Bacatranes,Trebol Clan,40.00
Los Bandoleros,Don Omar,22.00
Los Bandoleros Reloaded,Don Omar,35.00
Los Benjamins,Luny Tunes,25.00
Los Benjamins La Continuacion,Luny Tunes,30.00
Los Brothers,Alex Gargolas,25.00
Los Cabecillas Del Abuso,O.G. Black & Master Joe,18.95
Los Campeones Del pueblo (Fan Made),Wisin & Yandel,20.00
Los Cazadores Primera Busqueda (CD/DVD),Varios Artistas,30.00
Los Compadres,Los Compadres,18.95
Los De Atras Vienen Conmigo,Calle 13,14.75
Los Dueños Del Estilo,Karel & Voltio,22.00
Los Dueños Del Flow,Noztra,15.00
Los Elegidos,DJ Nelson,14.75
Los Extraterrestres,Wisin & Yandel,25.00
Los Extraterrestres Otra Dimension,Wisin & Yandel,30.00
Los Homerunes De Yankee,Daddy Yankee,35.00
Los Mas Buscados,Varios Artistas,27.00
Los Matadores Del Genero,Blin Blin Music,18.95
Los Mozalbetes,DJ Kripy & Enano,22.00
Los MVP,Khriz & Angel,25.00
Los MVP Special Edition,Khriz & Angel,25.00
Los Narco Mujeriegos,Dj Chiclin,30.00
Los Negritos Del Momento,Pancho & Kruger,18.95
Los Pitbulls,Alexis & Fido,28.00
Los Rompediscotekas,Hector El Father,30.00
Los Sucesores,J King & Maximan,27.00
Los Vaqueros,Wisin & Yandel,27.00
Los Vaqueros El Regreso,Wisin & Yandel,27.00
Los Vaqueros El Regreso Deluxe Edition,Wisin & Yandel,30.00
Los Vaqueros La Trilogia,Wisin,25.00
Malas Maña,Rok & Gammy,30.00
Mas Flow 2,Luny Tunes,35.00
Mas Flow Gold Edition,Luny Tunes,27.00
Mas Suelto Que Nunca,Bimbo,18.95
Masterpiece,Rakim & Ken-Y,18.95
Meet The Orphans,Don Omar,18.95
Mi Flow,Baby Ranks,14.75
Mi Sentimiento,MJ,14.75
Mis Ojos Lloran Por Ti,Big Boy,25.00
Motivando A La Yal,Zion & Lennox,30.00
MTO 2,Don Omar,18.95
Mundial,Daddy Yankee,22.00
Mundo Frio,Lito & Polaco,60.00
My World,Dilan & Lenny,18.95
New Season (Fan Made),Khriz & Angel,14.75
No Hay Mas Na Que Hablar,Shaka Black y Tony Haze,14.75
Orion,Musicologo & Menes,25.00
Otro Nivel De Musica,J Alvarez,22.00
Perreologia,Alexis & Fido,40.00
Planet Reggae,Varios Artistas,45.00
"Playero 42, El Especialista Episodio 1",DJ Playero,40.00
Prestige,Daddy Yankee,22.00
Pretty Boy,Maluma,18.95
Progresivo,Magnate,14.75
Quimica Perfecta,Magnate & Valentino,22.00
Real (Version 2007),Ivy Queen,14.75
Rebuleando Con Estilo,Alberto Stylee,18.95
Reggaeton De La Mata (Fan Made),DJ Urba & Rome,14.75
Reggaeton Hits,Luny Tunes,22.00
Reggaeton Latino,Don Omar,18.95
Reggaeton Notorious,O.G. Black & Master Joe,14.75
Residente o Visitante,Calle 13,14.75
Rolex La Hora De La Venganza,Genio Records,37.00
Romances Del Ruido 2,Baby Rasta & Gringo,22.00
Rompiendo El Hielo,Magnate & Valentino,35.00
Sabotage,O.G. Black & Master Joe,18.95
Sandunguero Hits,DJ Blass,22.00
Sangre Nueva Special Edition,Naldo,30.00
Showtime,Khriz & Angel,22.00
Sin Control,Noriega,37.00
Sin Limite,Magnate & Valentino,22.00
Sobrenatural,Alexis & Fido,28.00
Sonando Diferente,Yaga & Mackie,22.00
Sopranos,Varios Artistas,18.95
Special Request,Maestro,40.00
Sueños De Grandeza,DJ Kalin,27.00
Talento De Barrio,Daddy Yankee,22.00
Tha Crew 4 Cruzando El Charco,Felito El Caballote,14.75
The Bad Boy,Hector El Father,42.00
The Black Carpet,Nicky Jam,27.00
The Chosen Few 1,Varios Artistas,18.95
The Chosen Few 2,Varios Artistas,18.95
The Chosen Few 3,Varios Artistas,18.95
The Company,Pina Records,27.00
The Last Album,Don Omar,14.75
The Last Album (Sellado),Don Omar,18.95
The Last Don,Don Omar,22.00
The Majestic 1,Diamond Music,22.00
The Majestic 2,Diamond Music,22.00
The Noise 10,DJ Negro,37.00
The Prezident,Johnny Prez,18.95
The Reggaetony Album,Tony Touch,14.75
The Royalty,Rakim & Ken-Y,22.00
Time To Kill 2,DJ Frank,14.75
Tomando El Control Live,Wisin & Yandel,22.00
Top Of The Line,Tito El Bambino,22.00
Undergrammie,Pancho Indio Crew & David D Ambulante,18.95
Vida Escante,Nicky Jam,35.00
Vida Eterna,Getto & Gastam,45.00
VIP The Album,Varios Artistas,20.00
Visionary,Farruko,22.00
Voltage,Voltio,18.95
Voltio,Voltio,22.00
Yakaleo,Maicol & Manuel,35.00
